nombre,apellido,especialidad,telefono,email
Ana,Martínez,Pediatra,555-1234,ana.martinez@example.com
Carlos,Gómez,Cardiólogo,555-2345,carlos.gomez@example.com
Laura,Reyes,Traumatólogo,555-3456,laura.reyes@example.com
Jorge,Suárez,Endocrinólogo,555-4567,jorge.suarez@example.com
Mónica,Fernández,Nefróloga,555-5678,monica.fernandez@example.com
Ricardo,Alonso,Neurólogo,555-6789,ricardo.alonso@example.com
Patricia,Ramírez,Oncólogo,555-7890,patricia.ramirez@example.com
David,Castro,Otorrinolaringólogo,555-8901,david.castro@example.com
Isabel,Morales,Ginecólogo,555-9012,isabel.morales@example.com
Héctor,Ortiz,Infectólogo,555-0123,hector.ortiz@example.com
María,Guerrero,Cardiólogo,555-1235,maria.guerrero@example.com
Fernando,Martínez,Psicólogo,555-2346,fernando.martinez@example.com
Natalia,Salazar,Traumatólogo,555-3457,natalia.salazar@example.com
Alejandro,Herrera,Endocrinólogo,555-4568,alejandro.herrera@example.com
Juliana,Reyes,Nefróloga,555-5679,juliana.reyes@example.com
Esteban,Gómez,Neurólogo,555-6780,esteban.gomez@example.com
Carmen,Suárez,Oncólogo,555-7891,carmen.suarez@example.com
Luis,Castillo,Otorrinolaringólogo,555-8902,luis.castillo@example.com
Elena,Montoya,Ginecólogo,555-9013,elena.montoya@example.com
Oscar,Martínez,Infectólogo,555-0124,oscar.martinez@example.com
Sofía,Ramírez,Cardiólogo,555-1236,sofia.ramirez@example.com
Andrés,Alarcón,Psicólogo,555-2347,andres.alarcon@example.com
Beatriz,Herrera,Traumatólogo,555-3458,beatriz.herrera@example.com
Mauricio,Reyes,Endocrinólogo,555-4569,mauricio.reyes@example.com
Catalina,Suárez,Nefróloga,555-5670,catalina.suarez@example.com
Tomás,Castro,Neurólogo,555-6781,tomas.castro@example.com
Gabriela,Montoya,Oncólogo,555-7892,gabriela.montoya@example.com
Rafael,Alonso,Otorrinolaringólogo,555-8903,rafael.alonso@example.com
Margarita,Guerrero,Ginecólogo,555-9014,margarita.guerrero@example.com
Javier,Martínez,Infectólogo,555-0125,javier.martinez@example.com
